playerName,rank,ace,serPt,df,p_1stSerIn,p_2ndSerIn,p_1stWon,p_2ndWon,bpSaved,bpFaced,bpConverted,bpGet,retPtWon,retPt,serGmWon,serGm,retGmWon,retGm
Alexander Zverev,21,769,9851,525,5994,3332,4267,1913,495,815,344,825,3864,9585,1193,1513,344,1518
Radek Stepanek,98,4112,51546,2020,31991,17535,23278,9923,2516,4069,1847,4574,21596,52487,6554,8107,1847,8144
Ivo Karlovic,18,11740,50183,1998,32882,15303,27196,9182,1635,2305,728,2389,16091,50603,7559,8229,728,8192
Stephane Robert,66,384,8173,411,4399,3363,3039,1775,482,855,278,693,3426,8221,875,1248,278,1265
Roger Federer,10,9809,99029,2423,61343,35263,47289,21301,3828,5708,4288,10394,45847,105563,14432,16312,4288,15930
Feliciano Lopez,32,8179,65769,2698,38556,24515,29290,14112,3169,4817,1622,4523,23924,64893,8687,10335,1622,10385
Paolo Lorenzi,46,719,14842,505,8679,5658,5932,2978,816,1446,478,1235,5913,14836,1656,2286,478,2313
Nicolas Mahut,42,2815,28429,1275,17306,9848,12726,5577,1333,2185,779,1996,10596,28079,3638,4490,779,4499
David Ferrer,25,2754,76198,2475,48130,25593,33059,14763,3978,6624,3775,8570,35822,78423,9331,11977,3775,11833
Mikhail Youzhny,89,3308,65863,2124,40014,23725,27840,13309,3500,5778,2611,6296,28035,65861,7908,10186,2611,10158
Carlos Berlocq,78,921,20947,682,13527,6738,8951,3560,1242,2186,830,2038,8973,21093,2280,3224,830,3227
Gilles Muller,29,4304,27161,1155,16636,9370,12916,5290,1299,1970,567,1632,9207,26165,3623,4294,567,4252
Guillermo Garcia Lopez,99,2099,45760,2274,26863,16623,18562,9209,2586,4402,1695,4194,19251,45970,5198,7014,1695,7070
Yen Hsun Lu,61,1452,25659,1155,15552,8952,10945,5079,1399,2356,774,2059,10434,26078,3063,4020,774,4053
Florian Mayer,49,1892,32821,796,20317,11708,14047,6264,1655,2892,1230,2978,13570,33013,3905,5142,1230,5208
Philipp Kohlschreiber,28,3867,51814,1461,31269,19084,22576,11050,2532,4042,1870,4610,21516,52985,6700,8210,1870,8264
Fernando Verdasco,40,4202,62390,3123,42157,17110,29839,10398,3205,5097,2369,5835,26763,64223,7962,9854,2369,9868
Malek Jaziri,50,559,10045,384,5394,4267,3872,2315,618,962,278,776,3686,9540,1165,1509,278,1516
